Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000011992	2.12238	2.00031	3.71982	2.6769	8.00526	4.40062	3.25582	1.79382	0.48058	0.79806	3.63883	4.6949
ENSOANG00000011993	6.74103	7.72851	5.96793	8.51579	4.5542	7.28698	5.8703	13.61832	4.35255	3.93864	48.7203	36.50042
ENSOANG00000011994	0	0	0	0.29486	0.3354	0	0	0	6.18542	16.03193	0	0.25582
ENSOANG00000011995	97.4791	176.51537	0	0	0	0	0	0	0	0	0.78782	1.34114
ENSOANG00000011996	0	0	0	0	0	0	0	0	0	0	0.74271	0.07905
ENSOANG00000011997	13.53801	12.92947	14.74715	18.41949	51.42717	81.42399	51.5587	75.26441	108.0759	70.80449	36.41788	53.21507
ENSOANG00000011998	74.82166	179.39116	544.59012	535.73732	0.21438	0.12006	509.67578	67.15258	0.32259	0.10246	0.25618	0.87177
ENSOANG00000011999	10.42833	5.5765	8.75673	9.64975	2.68388	4.81743	0.91233	1.38906	1.83872	1.57876	8.30581	8.18843
ENSOANG00000012000	2.96354	2.21119	1.55083	1.30913	4.83961	5.6291	2.1594	4.29387	4.48311	3.20269	10.67683	7.76119
ENSOANG00000012001	4.00867	2.28857	0.82932	0.98603	35.70376	337.53821	0.26551	0.33373	0.02006	0	0	0.16293
ENSOANG00000012002	13.73748	14.31978	0.26909	0	0	0	0	0	0	0	0	0
ENSOANG00000012004	0	0	0	0	0	0	0	0	0	0	0	0.05047
ENSOANG00000012005	1.11452	2.77205	0.98973	0.86165	3.59354	2.19539	1.0828	2.82603	0.24593	0.31234	35.91586	41.52951
ENSOANG00000012006	0.55648	0.74301	0.58522	0.76982	1.64831	1.61544	14.85364	14.55567	2.09343	6.40071	7.26319	8.14565
