Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000016040	0.10736	0.19662	0	0.07373	0.10516	0.12748	0.02718	0	0.11715	0.14299	0.10684	0.44885	0.31189	0.17354	1.37142
ENSPTRG00000016041	0.21582	0.27696	0.27141	0	0.33827	0.10258	0.13133	0.04033	0.64117	0.51773	2.85893	1.69593	1.73897	1.39624	1.23337
ENSPTRG00000016042	4.65977	5.47418	2.62976	4.43689	4.44685	3.5521	7.96789	10.38837	10.59508	14.46047	9.13198	14.64595	5.805	8.63031	97.10569
ENSPTRG00000016043	1.44699	2.46257	2.16671	3.12744	3.03697	1.47481	0.31448	0	0.09032	0.36725	0.10295	0	0	0	0.77712
ENSPTRG00000016044	0.34788	0	0	0	0	0	0	0	0.05065	0	0	0	0	0	2.1791
ENSPTRG00000016045	3.89791	3.13148	4.70114	6.33442	5.98822	6.28614	5.4701	5.22932	3.23644	4.32815	2.77839	3.35042	1.30267	1.36726	5.9316
ENSPTRG00000016047	66.62894	50.20325	106.37527	102.601	121.62846	89.49679	55.90498	63.32696	29.58912	42.8162	45.74116	64.73617	33.04578	55.72423	38.02834
ENSPTRG00000016048	7.60657	7.47706	8.55218	7.03793	9.07555	8.55188	3.85757	5.94773	4.41023	4.11548	48.4106	83.50751	31.1848	46.37062	0.72789
ENSPTRG00000016049	0	0	0	0.08705	0	0	0.0642	0	0	0	0.69364	1.08257	0.02628	0.20488	0.23805
ENSPTRG00000016051	12.30276	6.45701	12.77486	14.354	16.7876	13.67839	6.66415	6.23177	4.60889	3.11271	6.48619	7.98025	5.45683	5.78999	18.78577
ENSPTRG00000016052	0.75248	1.89619	1.52806	1.94052	1.47402	1.78962	1.71722	1.05519	0.18487	0.18796	2.48222	0.97507	0.78116	0	0.31818
ENSPTRG00000016053	7.75066	6.52174	8.67028	9.22499	10.10951	9.39372	8.8439	15.08455	13.0708	13.70334	8.73887	11.20913	4.33262	1.40601	8.68478
ENSPTRG00000016054	0.75577	0.61564	0.08796	0.11543	0.24674	0.19959	0.17032	0.15707	0.3668	0.44756	1.75621	1.89381	0.73229	0.2716	185.17917
