Ensembl.Gene.ID	brain_GSM752631	brain_GSM752632	prefrontal cortex_GSM752633	cerebellum_GSM752634	cerebellum_GSM752635	heart_GSM752636	heart_GSM752637	adult mammalian kidney_GSM752638	adult mammalian kidney_GSM752639	liver_GSM752640	liver_GSM752641	testis_GSM752642	testis_GSM752643
ENSMMUG00000032197	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032198	14.91443	11.4941	15.00211	18.07394	25.67312	8.56354	15.7581	38.43898	21.82618	19.27847	16.15792	16.76332	6.34178
ENSMMUG00000032199	0.37625	0	0.22214	0	0	0.36456	0	0	0	0	0.59498	0	0
ENSMMUG00000032200	51.39877	36.37807	59.39197	13.42578	45.01794	1.42288	4.02817	3.40634	1.1605	0	0	0	0.58137
ENSMMUG00000032201	0.3441	1.02269	0.20316	1.65554	1.02063	0	0.7551	0	1.0877	0.26687	1.36004	102.96106	118.22817
ENSMMUG00000032202	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032203	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032204	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032205	0	0	0.1669	0	0	0.2739	0	0	0	0	0	38.36445	90.08569
ENSMMUG00000032206	0	0	0	0	0	0	0	0	0	1.19735	0	0	0
ENSMMUG00000032207	0	0	0	0	0.94507	0.92601	0	0	0	0	0	0	0
ENSMMUG00000032208	14.84488	19.00393	11.38748	12.93019	19.17995	11.23376	13.91	8.71319	6.16533	0.92445	1.71325	9.86488	8.19329
ENSMMUG00000032209	0	0	0	0	0	0	0.3276	0	0	0.23157	0	0.50339	0.35461
ENSMMUG00000032210	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032211	0	0.43546	0	0	0.43458	0	0.48219	0	0.69458	0	0	0	0.52194
ENSMMUG00000032212	0	0.09092	0	0	0.09074	0	0.20136	0	0	0	0.03627	0.38691	0.21803
ENSMMUG00000032213	0.25451	0.37836	0.07518	0	1.25873	0	0	0	0.40225	0	0.05034	13.62785	10.98585
ENSMMUG00000032214	0.33633	0.0834	0.14898	0.72834	0.99795	0	0	2.86082	1.99354	0	0.09975	4.60774	2.69653
ENSMMUG00000032215	0	0	0	0	0.61374	0.60136	0.68097	0	0	0	0.24533	0	0
ENSMMUG00000032216	53.34037	31.2315	0.7157	45.88746	59.14011	64.60335	124.14445	85.60903	139.22988	59.54605	56.8648	39.85498	26.71591
ENSMMUG00000032217	32.43283	37.1409	26.27699	40.47637	34.02268	19.6501	30.99658	34.65611	30.05756	10.34298	4.77248	18.82546	19.36901
ENSMMUG00000032218	0	0	0.13512	0	0	0	0	0	0	0	0	0.19292	0
ENSMMUG00000032219	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032220	0	0	0	0	0.62677	0	0	0	0	0	0	0	0
ENSMMUG00000032221	0	0	0	0	0.64017	0	0	0	0	0	0	0	0
ENSMMUG00000032222	0.30111	0.59654	0.17778	0.57937	0.14879	0	0	4.65547	1.90333	0.11669	0	0.12684	0.23834
ENSMMUG00000032223	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032224	0	0	0	0.62978	0.64714	0	0	0	0	0	0	0	0
ENSMMUG00000032225	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032226	0	0	0	0	0	0	0	1.02316	0	0	0	0	0
ENSMMUG00000032227	16.6539	47.2837	35.35933	6.47231	45.60487	67.02749	381.26545	47.04913	133.63119	55.63851	144.06679	18.62827	29.79545
ENSMMUG00000032228	21.28109	14.91496	6.7419	10.48965	3.07957	14.58462	14.8072	19.26377	9.02389	7.64863	5.95001	20.12719	7.39747
ENSMMUG00000032229	0	0	0.56426	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032230	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032231	80.7703	59.12146	77.42121	13.84714	25.23246	26.4894	79.14888	18.54227	9.39988	4.0175	2.54057	10.59317	13.32963
ENSMMUG00000032232	0	0	0	0	0	0	0	0	0	0	0	0.78691	0.18478
ENSMMUG00000032233	0.38348	0	0.22641	0	0	0	0	0	0.60608	0	0	0.32326	0.15181
ENSMMUG00000032234	0	0	0	0	0	0.41374	0.46852	0	0.67489	0	0	0	0
ENSMMUG00000032235	9.32592	9.88937	3.76735	44.08677	24.91613	11.88972	15.79755	20.24084	13.18826	9.51701	4.72121	41.9284	43.72153
ENSMMUG00000032236	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000032237	3.95327	1.50665	0.35907	0	0	1.17856	3.33649	0.47038	0	0	0.12024	0	0.84273
ENSMMUG00000032238	0	0	0	0	0	0	0	13.56837	4.78187	2.34651	0	0	0
ENSMMUG00000032239	0	0	0	0.54147	0	0	0	0	0	0	0	0	0
ENSMMUG00000032240	0	0.32073	0	0.3115	1.92069	0	0	0	0	0	0	0.81858	0.51258
ENSMMUG00000032241	20.37884	15.90937	23.69893	13.96569	16.79324	6.88093	6.43694	4.77474	1.95215	2.3947	6.83488	8.06875	8.06772
ENSMMUG00000032242	0.0811	0.16055	0.95693	0.15592	0.32062	0.23557	0.80028	88.34558	99.13207	0.0629	0.06405	0.8198	0.16039
ENSMMUG00000032243	1.98296	2.52613	2.25779	1.90828	1.40055	9.7435	107.53727	16.86439	12.98328	1.64774	2.29538	4.89506	1.45785
ENSMMUG00000032244	6.45101	10.72968	6.84674	7.90796	6.68304	2.82756	2.35943	9.02575	10.07448	2.56112	0.94106	11.3941	10.67165
ENSMMUG00000032245	3.23707	1.92457	2.29341	1.86917	1.28034	0	0	0	0	0	0	1.09145	0
