Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000018061	5.82265	4.11335	1.1152	1.64552	1.52484	2.02378	0.49198	1.02275	3.66214	5.20143	18.16688	27.16884
ENSXETG00000018063	0.29127	0.30472	0	0	0	0.12753	0	0	1.50359	14.57901	0.25965	2.18745
ENSXETG00000018064	0	0.10047	100.31747	64.2775	0.13555	0.16824	0	0	0.31555	1.24067	0.17126	1.49075
ENSXETG00000018065	2.42069	2.07663	0.17552	0.02104	1.29818	1.39907	0	0	0.68164	2.00638	0.75528	2.86026
ENSXETG00000018066	13.6622	22.25828	40.09524	30.69898	50.10234	45.04066	28.68133	14.53364	41.64557	54.22604	66.5133	115.33208
ENSXETG00000018073	0	0	0	0	0	0	0	0	6.62882	5.66708	0	0
ENSXETG00000018074	53.53821	43.59818	1.73662	1.56471	1.78067	1.56416	1.16338	0.4367	1.63206	1.2733	0.45342	0.4264
ENSXETG00000018075	38.10565	32.66523	11.87631	16.81977	21.92863	30.0186	14.89088	21.39612	31.34908	26.01163	118.52865	126.07444
ENSXETG00000018076	6.06217	4.70733	1.35588	1.38882	2.28349	2.11569	1.68271	1.30079	2.09081	3.4118	3.58625	5.83728
ENSXETG00000018079	0	0	0	0	50.91112	54.06219	0.13797	0	24.46901	98.59011	0.57031	2.50908
ENSXETG00000018081	0.56555	0.648	0.43928	0.53903	1.39353	1.91018	1.02226	1.07061	82.80575	57.16448	237.23433	100.09978
ENSXETG00000018082	1.47826	1.04616	0.1576	0.07567	31.57953	48.65843	12.11535	6.9552	2.93818	14.13383	6.31762	14.23659
ENSXETG00000018083	41.57559	34.25684	3.99044	3.95895	8.05664	4.8785	4.13451	2.39486	19.56829	31.73788	12.77331	18.41631
ENSXETG00000018085	8.02317	6.1458	5.26158	8.5138	30.43067	29.04426	18.49701	5.90682	7.63776	11.73642	2.09878	1.85398
